> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 9.522 MiB, Paid 0.000000000012629092 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.541 MiB, Paid 0.000000000012629092 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.542 MiB, Paid 0.000000000012629092 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.792 MiB, Paid 0.000000000012629092 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.792 MiB, Paid 0.000000000012629092 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 10.04 MiB, Paid 0.000000000012629092 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 10.04 MiB, Paid 0.000000000012629092 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 10.04 MiB, Paid 0.000000000021058642 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 10.29 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 10.54 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 10.79 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 11.04 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 11.29 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 11.54 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 11.79 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12.04 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12.29 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12.54 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 12.79 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13.04 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13.29 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13.54 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 13.79 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.04 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.29 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.31 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.31 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.56 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.81 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 14.81 MiB, Paid 0.000000000021058642 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 15.06 MiB, Paid 0.000000000021058642 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 15.06 MiB, Paid 0.000000000021058642 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 15.06 MiB, Paid 0.000000000031585456 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 15.31 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 15.56 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 15.81 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 16.06 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 16.31 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 16.56 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 16.81 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17.06 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17.31 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17.56 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 17.81 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18.06 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18.31 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18.56 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 18.81 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.06 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.08 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.08 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.33 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.58 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 19.83 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.08 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.33 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.58 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.83 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 20.83 MiB, Paid 0.000000000031585456 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 21.08 MiB, Paid 0.000000000031585456 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 21.08 MiB, Paid 0.000000000031585456 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 21.08 MiB, Paid 0.000000000044209534 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 21.33 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 21.58 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 21.83 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 22.08 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 22.33 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 22.58 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 22.83 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.08 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.33 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.58 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.83 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 23.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24.1 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24.35 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24.6 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 24.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25.1 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25.35 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25.6 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 25.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26.1 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26.35 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26.6 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 26.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.1 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.35 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.6 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.85 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 27.85 MiB, Paid 0.000000000044209534 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 28.1 MiB, Paid 0.000000000044209534 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 28.1 MiB, Paid 0.000000000044209534 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 28.1 MiB, Paid 0.000000000058930876 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 28.35 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 28.6 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 28.62 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 28.62 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 28.87 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 29.12 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 29.37 MiB, Paid 0.000000000058930876 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 29.37 MiB, Paid 0.000000000058930876 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
ERROR: retrieval timed out

Command exited with non-zero status 124
0.19user 0.07system 22:00.01elapsed 0%CPU (0avgtext+0avgdata 43328maxresident)k
0inputs+0outputs (0major+4045minor)pagefaults 0swaps
